Time;PE1MAX;PE1MIN;PE2MAX;PE2MIN;PEEQMAX;PEEQMIN
0.0756849;0.0546704;0.0578526;-0.0476125;-0.0511392;0.0594944;0.0633091
0.0806849;0.0582736;0.0616471;-0.0507319;-0.0544883;0.0634118;0.0674634
0.0856849;0.06186;0.0654198;-0.053834;-0.0578244;0.0673111;0.0715978
0.0906849;0.0654467;0.06919;-0.0569339;-0.0611624;0.0712108;0.0757324
0.0956849;0.0690363;0.0729599;-0.0600343;-0.0645024;0.0751137;0.0798688
0.100685;0.0726264;0.0767301;-0.0631333;-0.0678438;0.0790176;0.084007
0.105685;0.0762209;0.0805029;-0.0662345;-0.071188;0.0829265;0.0881493
0.110685;0.0798162;0.0842759;-0.0693349;-0.0745322;0.0868367;0.0922929
0.115685;0.0834137;0.0880509;-0.0724357;-0.0778777;0.0907498;0.0964397
0.120685;0.0870131;0.0918267;-0.0755367;-0.0812233;0.0946655;0.100588
0.125685;0.0905966;0.0955856;-0.0786226;-0.0845536;0.0985643;0.104719
0.130685;0.0941299;0.09929;-0.0816636;-0.0878365;0.102409;0.108792
0.135685;0.0975992;0.102926;-0.0846476;-0.0910608;0.106185;0.112792
0.140685;0.101039;0.106529;-0.0876047;-0.0942589;0.109931;0.116758
0.145685;0.104471;0.110121;-0.0905528;-0.0974493;0.113667;0.120715
0.150685;0.1079;0.113708;-0.0934963;-0.100637;0.117401;0.124669
0.155685;0.111328;0.117294;-0.0964381;-0.103824;0.121136;0.128622
0.160685;0.114756;0.120878;-0.0993785;-0.107011;0.124871;0.132576
0.165685;0.118183;0.124461;-0.102316;-0.110196;0.128606;0.13653
0.170685;0.121596;0.128027;-0.10524;-0.113366;0.132326;0.140467
0.175685;0.124986;0.131569;-0.108144;-0.116516;0.136023;0.14438
0.180685;0.128354;0.135086;-0.111026;-0.119645;0.139696;0.148266
0.185685;0.131711;0.13859;-0.113898;-0.122764;0.143359;0.152142
0.190685;0.135064;0.142089;-0.116765;-0.12588;0.147018;0.156013
0.195685;0.138415;0.145585;-0.119629;-0.128993;0.150677;0.159883
0.200685;0.141765;0.149079;-0.122491;-0.132104;0.154335;0.163753
0.205685;0.145111;0.152568;-0.125347;-0.135212;0.157991;0.167619
0.210685;0.148447;0.156045;-0.128194;-0.138309;0.161636;0.171474
0.215685;0.151771;0.159509;-0.131028;-0.141395;0.16527;0.175317
0.220685;0.155083;0.162959;-0.133852;-0.14447;0.168892;0.179147
0.225685;0.15839;0.166402;-0.136669;-0.147539;0.172509;0.182971
0.230685;0.161693;0.169841;-0.139482;-0.150606;0.176125;0.186793
0.235685;0.164995;0.173277;-0.142292;-0.15367;0.179739;0.190614
0.240685;0.168294;0.17671;-0.145098;-0.156731;0.183353;0.194433
0.245685;0.171586;0.180134;-0.147897;-0.159785;0.18696;0.198245
0.250685;0.174872;0.183551;-0.150689;-0.162833;0.190562;0.202051
0.255685;0.178149;0.186958;-0.153473;-0.165874;0.194156;0.205849
0.260685;0.181421;0.190359;-0.15625;-0.168908;0.197746;0.209641
0.265685;0.18469;0.193754;-0.159023;-0.171939;0.201334;0.213431
0.270685;0.187956;0.197147;-0.161793;-0.174968;0.204921;0.21722
0.275685;0.191219;0.200535;-0.164559;-0.177993;0.208506;0.221006
0.280685;0.194477;0.203917;-0.167318;-0.181013;0.212088;0.224789
0.285685;0.197731;0.207294;-0.170073;-0.184029;0.215666;0.228567
0.290685;0.20098;0.210664;-0.172821;-0.187039;0.21924;0.23234
0.295685;0.204223;0.214028;-0.175564;-0.190045;0.222811;0.23611
0.300685;0.207463;0.217387;-0.178303;-0.193046;0.226379;0.239877
0.305685;0.2107;0.220742;-0.181037;-0.196045;0.229947;0.243642
0.310685;0.213935;0.224094;-0.183768;-0.199041;0.233513;0.247405
0.315685;0.217165;0.22744;-0.186493;-0.202032;0.237076;0.251166
0.320685;0.220391;0.230781;-0.189214;-0.20502;0.240638;0.254923
0.325685;0.223614;0.234118;-0.19193;-0.208003;0.244197;0.258678
0.330685;0.226832;0.237449;-0.194641;-0.210982;0.247753;0.262429
0.335685;0.230048;0.240775;-0.197347;-0.213958;0.251308;0.266179
0.340685;0.23326;0.244098;-0.20005;-0.216931;0.254862;0.269926
0.345685;0.236469;0.247416;-0.202748;-0.2199;0.258415;0.273672
0.350685;0.239675;0.25073;-0.205442;-0.222865;0.261965;0.277416
0.355685;0.242877;0.254039;-0.208131;-0.225828;0.265515;0.281158
0.360685;0.246076;0.257345;-0.210816;-0.228786;0.269063;0.284898
0.365685;0.249271;0.260645;-0.213497;-0.231741;0.272609;0.288635
0.370685;0.252464;0.263941;-0.216173;-0.234692;0.276153;0.292371
0.375685;0.255653;0.267233;-0.218845;-0.237641;0.279697;0.296105
0.380685;0.258839;0.27052;-0.221513;-0.240586;0.28324;0.299837
0.385685;0.262022;0.273804;-0.224176;-0.243527;0.286781;0.303568
0.390685;0.265201;0.277083;-0.226835;-0.246465;0.290321;0.307297
0.395685;0.268378;0.280358;-0.22949;-0.2494;0.293861;0.311025
0.400685;0.271552;0.283629;-0.232141;-0.252332;0.297399;0.314751
0.405685;0.274722;0.286895;-0.234787;-0.25526;0.300936;0.318475
0.410685;0.27789;0.290158;-0.23743;-0.258185;0.304473;0.322198
0.415685;0.281054;0.293416;-0.240067;-0.261106;0.308008;0.325919
0.420685;0.284215;0.29667;-0.242701;-0.264024;0.311542;0.329639
