PaperAngle,PaperStress,VMAngle,VMStress,NguygenAngle,NguyenStress,BoudardAngle,BoudardStress
,,3.913035888,182415413.9,2.123866025,134264201.5,2.014958264,140543144
,,3.95314196,182434393.8,2.163961554,134382126.2,2.055053392,140668536.2
,,3.993248146,182453062.6,2.204057083,134500050.8,2.095148578,140794239.5
,,4.033348546,182471109.1,2.244152612,134617664.3,2.135243706,140920253.9
,,4.073454732,182488533.4,2.284248485,134728743.7,2.175338949,141043156.9
,,4.113560918,182505957.6,2.324344759,134831422.1,2.215434707,141156103.2
,,4.153667161,182523070.7,2.364446992,134928188.8,2.255530924,141260026.2
,,4.193773348,182539872.6,2.404543553,135024955.4,2.295627198,141362393.5
,,4.233879591,182556674.5,2.444640113,135121722.1,2.335723472,141464760.8
,,4.273985835,182572854.1,2.484736674,135218488.8,2.375825475,141567128.1
,,4.314092136,182588722.6,2.524833234,135315566.6,2.41592175,141669806.6
,,4.354192707,182603657.7,2.564929737,135412955.5,2.456018024,141772485
,,4.394299008,182618592.7,2.605032028,135510655.6,2.49611424,141875785.8
,,4.434405366,182632905.5,2.645128531,135608355.7,2.536210514,141979086.5
,,4.474511724,182647218.2,2.685225034,135706366.9,2.576306731,142082387.2
,,4.514618082,182660908.7,2.72532148,135804689.3,2.616402948,142186310.3
,,4.55472444,182674599.1,2.765417983,135903011.7,2.656499165,142290233.3
,,4.594830855,182687667.3,2.805514429,136001645.3,2.696595324,142394467.5
,,4.634937271,182700424.3,2.845616605,136100589.9,2.736691541,142498701.7
,,4.675038014,182712559.1,2.885713051,136199845.8,2.77679343,142603558.1
,,4.715144487,182724693.8,2.925809496,136299101.6,2.816889589,142708103.5
,,4.755250959,182736206.2,2.965906,136397112.9,2.856985921,142809848.5
,,4.795357432,182747718.6,3.006002675,136491079.2,2.897082481,142906926.3
,,4.835463905,182759231.1,3.046099522,136581622.9,2.937179156,143000270.3
,,4.875570435,182770121.2,3.08620227,136669366.3,2.977276003,143091747.5
,,4.915676965,182780700.2,3.126299289,136756798.6,3.017378523,143183535.8
,,4.955783495,182790968,3.166396308,136844230.8,3.057475312,143275324.1
,,4.995890082,182800924.7,3.20649327,136932285.4,3.097572102,143367423.5
,,5.035996669,182810570.3,3.246596018,137020339.9,3.137668892,143459834.1
,,5.076103199,182819904.7,3.28669298,137108705.6,3.177765624,143552244.7
,,5.116204114,182829239.1,3.326789941,137197071.3,3.217868144,143645277.6
,,5.156310702,182837951.2,3.366886903,137286059.3,3.257964876,143738310.5
,,5.196417346,182846663.3,3.406989537,137375047.3,3.298061608,143831654.6
,,5.236523991,182854753.1,3.447086499,137464657.5,3.338158284,143925309.7
,,5.276630635,182862531.8,3.487183403,137554267.8,3.378255016,144019276.1
,,5.316737337,182869999.3,3.527280307,137644189.2,3.418357421,144113553.6
,,5.356844039,182877466.9,3.567382884,137734421.8,3.458454096,144207831
,,5.396950741,182884312.1,3.607479788,137824654.4,3.498550771,144301797.4
,,5.437057443,182891157.3,3.647576635,137914887,3.538647618,144393896.8
,,5.477164202,182897380.3,3.687673597,138003563.8,3.578744522,144483507.1
,,5.517270961,182903603.2,3.727770673,138090062.6,3.618847213,144571250.5
