PaperExtensionPoint,PaperSigmaPoint,PaperExtensionCurve,PaperSigmaCurve,ExperimentalExtensionPoint,ExperimentalSigmaPoint,ExperimentalExtensionCurve,ExperimentalSigmaCurve
,,,,,,0.001766574,126.885891
,,,,,,0.001779959,127.8189313
,,,,,,0.001793415,128.7519717
,,,,,,0.001806947,129.6843214
,,,,,,0.001820568,130.6173618
,,,,,,0.001834284,131.5504021
,,,,,,0.001848101,132.4834425
,,,,,,0.001862052,133.4157922
,,,,,,0.001876137,134.3488326
,,,,,,0.001890392,135.2818729
,,,,,,0.001904864,136.2142226
,,,,,,0.001919628,137.147263
,,,,,,0.001934792,138.0796127
,,,,,,0.001950445,139.0119624
,,,,,,0.001966701,139.9443121
,,,,,,0.001966701,139.9443121
,,,,,,0.001974657,140.2937706
,,,,,,0.002052985,142.8442651
,,,,,,0.002455099,144.9278941
,,,,,,0.002967297,146.7877591
,,,,,,0.003476994,148.5564611
,,,,,,0.00398476,150.2678408
,,,,,,0.004490843,151.9377827
,,,,,,0.004996241,153.5476399
,,,,,,0.005501651,154.7161849
,,,,,,0.006002642,155.5104087
,,,,,,0.00650127,156.2507635
,,,,,,0.006998603,156.9759244
,,,,,,0.007494793,157.6900352
,,,,,,0.007990348,158.3633989
,,,,,,0.008485077,158.9442182
,,,,,,0.0089786,159.4456152
,,,,,,0.009470472,159.8972868
,,,,,,0.009961138,160.3392897
,,,,,,0.010450914,160.7736956
,,,,,,0.010939992,161.1825482
,,,,,,0.011428308,161.5554881
,,,,,,0.011915799,161.9008028
,,,,,,0.012402337,162.219183
,,,,,,0.012887859,162.5237505
,,,,,,0.013372619,162.8200306
,,,,,,0.01385668,163.1004261
,,,,,,0.014340043,163.3635559
,,,,,,0.014822771,163.6128732
,,,,,,0.015304801,163.849759
,,,,,,0.015786132,164.073523
,,,,,,0.016266764,164.2876181
,,,,,,0.016746761,164.4906631
,,,,,,0.017226187,164.6840394
,,,,,,0.017705042,164.8698187
,,,,,,0.018183325,165.0486917
,,,,,,0.018661036,165.2185866
,,,,,,0.01913824,165.3788126
,,,,,,0.019614808,165.5300604
,,,,,,0.020090932,165.6757832
,,,,,,0.020566612,165.8166716
,,,,,,0.02104172,165.9527256
,,,,,,0.021516447,166.082564
,,,,,,0.021990665,166.2034241
,,,,,,0.02246444,166.3180686
,,,,,,0.02293777,166.4292599
,,,,,,0.023410655,166.5363075
,,,,,,0.02388316,166.6392113
,,,,,,0.024355283,166.73659
,,,,,,0.024826962,166.8291344
,,,,,,0.02529826,166.9168443
,,,,,,0.025769177,167.0017917
,,,,,,0.026239713,167.0819047
,,,,,,0.026709931,167.157874
,,,,,,0.027179769,167.2303901
,,,,,,0.027649225,167.299453
,,,,,,0.028118364,167.3657534
,,,,,,0.028587186,167.4279101
,,,,,,0.02905569,167.4866136
,,,,,,0.029523813,167.5418639
,,,,,,0.029991618,167.5943518
,,,,,,0.030459169,167.6440771
,,,,,,0.030926403,167.6910399
,,,,,,0.031393256,167.7345496
,,,,,,0.031859855,167.7752967
,,,,,,0.0323262,167.8132813
,,,,,,0.032792164,167.8485034
,,,,,,0.033257874,167.880963
,,,,,,0.03372333,167.9106601
,,,,,,0.034188468,167.9382852
,,,,,,0.034653289,167.9631479
,,,,,,0.035117856,167.985248
,,,,,,0.035582106,168.0045857
,,,,,,0.036046101,168.0218514
,,,,,,0.036509779,168.0363546
,,,,,,0.036973203,168.0480953
,,,,,,0.037436309,168.0570735
,,,,,,0.037899098,168.0639798
,,,,,,0.038361633,168.0674329
,,,,,,0.038823851,168.0688142
,,,,,,0.039285751,168.0674329
,,,,,,0.039747396,168.0625985
,,,,,,0.040208661,168.0550016
,,,,,,0.040669609,168.0439515
,,,,,,0.041130239,168.0294483
,,,,,,0.041590488,168.0121826
,,,,,,0.042050419,167.9900824
,,,,,,0.04250997,167.9645292
,,,,,,0.042969139,167.9341415
,,,,,,0.043427864,167.8982287
,,,,,,0.043886208,167.8574816
,,,,,,0.044344107,167.8105188
,,,,,,0.044801499,167.7559591
,,,,,,0.045258382,167.6938024
,,,,,,0.045714694,167.6226676
,,,,,,0.046170434,167.5404827
,,,,,,0.04662554,167.4451758
,,,,,,0.047079947,167.336747
,,,,,,0.047533655,167.2103618
,,,,,,0.047986474,167.0653296
,,,,,,0.048438468,166.8981973
,,,,,,0.04888951,166.7062023
,,,,,,0.049339472,166.4872728
,,,,,,0.049788354,166.2400275
,,,,,,0.050235966,165.9637757
,,,,,,0.050682182,165.6571362
,,,,,,0.051126937,165.3207997
,,,,,,0.051569977,164.9547661
,,,,,,0.052011176,164.5583448
,,,,,,0.052450343,164.1315358
,,,,,,0.052887224,163.6729579
,,,,,,0.053321565,163.1833016
,,,,,,0.053753239,162.6618764
,,,,,,0.054181991,162.107301
,,,,,,0.054607442,161.5209566
,,,,,,0.055029528,160.9007714
,,,,,,0.055447866,160.247436
,,,,,,0.055862141,159.5602597
,,,,,,0.056272225,158.8399332
,,,,,,0.056677673,158.0850752
,,,,,,0.057078296,157.2963764
,,,,,,0.057473774,156.4731462
,,,,,,0.057863729,155.616075
,,,,,,0.058247841,154.7244725
,,,,,,0.058625857,153.799029
,,,,,,0.058997396,152.8390541
,,,,,,0.059362141,151.8452384
,,,,,,0.059719647,150.8175818
,,,,,,0.06006966,149.7560844
