PaperExtension,PaperStress,VMExtension,VMStress,NguyenExtension,NguyenStress,BoudardExtension,BoudardStress
,,0.022116298,44493800.66,0.003905874,36983343.8,0.006130717,38670413.36
,,0.022135394,44484822.48,0.003883258,37010071.16,0.006124616,38697831.35
,,0.022154392,44475913.36,0.003860277,37036798.52,0.0061182,38725318.4
,,0.022173095,44466866.12,0.003836941,37063594.94,0.006111456,38752943.57
,,0.022191798,44457818.87,0.00381324,37090391.36,0.006104394,38780637.81
,,0.022210303,44448771.63,0.003789176,37117325.91,0.006097016,38808470.18
,,0.022228711,44439655.32,0.003764766,37144329.52,0.006089319,38836371.61
,,0.02224702,44430469.95,0.003739993,37171333.13,0.006081295,38864342.1
,,0.02226523,44421353.64,0.003714854,37198405.8,0.006072965,38892450.72
,,0.022283342,44412030.14,0.003689369,37225547.54,0.006064299,38920628.4
,,0.022301356,44402706.64,0.003663519,37252827.4,0.006055316,38948875.14
,,0.022319271,44393314.08,0.003637322,37280107.26,0.006046025,38977190.95
,,0.022337088,44383852.46,0.003610779,37307525.25,0.006036409,39005575.82
,,0.022354806,44374321.77,0.003583871,37335012.3,0.006026477,39034029.75
,,0.022372524,44364652.96,0.003556617,37362568.42,0.006016239,39062552.75
,,0.022390144,44354984.15,0.003528997,37390262.66,0.006005676,39091144.8
,,0.022407764,44345108.15,0.003501032,37418025.96,0.005994806,39119805.93
,,0.022425285,44335232.15,0.003472703,37445858.33,0.005983621,39148467.05
,,0.022442807,44325287.09,0.003444018,37473828.82,0.005972119,39177266.29
,,0.02246023,44315203.9,0.003414989,37501799.31,0.005960312,39206134.6
,,0.022477555,44305051.64,0.003385605,37529838.86,0.005948189,39235071.98
,,0.022494879,44294830.33,0.003355875,37557947.48,0.005935757,39264078.41
,,0.022512204,44284539.95,0.003325791,37586056.1,0.005923008,39293153.91
,,0.02252943,44274111.45,0.003295353,37614302.84,0.005909952,39322367.54
,,0.022546558,44263613.88,0.003264579,37642618.65,0.005896578,39351650.22
,,0.022563686,44253047.25,0.003233441,37670934.46,0.005882898,39381071.04
,,0.022580813,44242342.49,0.003201958,37699319.33,0.0058689,39410491.85
,,0.022597843,44231637.74,0.003170138,37727773.26,0.005854594,39440050.79
,,0.022614872,44220794.85,0.003137964,37756296.25,0.005839974,39469678.79
,,0.022631902,44209882.91,0.003105444,37784888.31,0.005825048,39499375.86
,,0.022648833,44198901.9,0.003072578,37813549.43,0.005809807,39529072.92
,,0.022665764,44187782.77,0.003039366,37842348.68,0.00579427,39558908.11
,,0.022682596,44176663.63,0.003005809,37871147.93,0.005778425,39588812.37
,,0.022699429,44165406.37,0.002971906,37900085.3,0.005762265,39618785.68
,,0.022716262,44154080.05,0.002937658,37929091.73,0.00574581,39648828.06
,,0.022732996,44142684.67,0.002903074,37958236.3,0.005729037,39678939.51
,,0.022749828,44131220.22,0.002868135,37987380.86,0.005711977,39709050.95
,,0.022766464,44119686.71,0.00283285,38016594.48,0.005694593,39739300.52
,,0.022783198,44108015.07,0.002797231,38045877.17,0.005676919,39769550.09
,,0.022799834,44096343.43,0.002761276,38075228.92,0.005658939,39799937.78
,,0.02281647,44084602.73,0.002724976,38104649.73,0.005640651,39830325.48
,,0.022833106,44072723.9,0.002688341,38134070.55,0.005622054,39860851.3
,,0.022849643,44060845.08,0.002651361,38163629.49,0.005603161,39891446.18
,,0.022866181,44048828.13,0.002614036,38193188.43,0.005583963,39922110.13
,,0.022882718,44036811.17,0.002576376,38222816.43,0.005564467,39952912.2
,,0.022899157,44024725.16,0.00253838,38252582.56,0.005544664,39983714.27
,,0.022915596,44012501.02,0.00250004,38282348.69,0.005524559,40014723.53
,,0.022932035,44000276.88,0.002461364,38312183.88,0.005504156,40045732.79
,,0.022948474,43987983.67,0.002422363,38342088.13,0.005483447,40076811.12
,,0.022964815,43975552.34,0.002383015,38372061.45,0.00546245,40107889.44
,,0.022981156,43963190.08,0.002343332,38402103.83,0.005441156,40139105.89
,,0.022997496,43950620.62,0.002303323,38432215.27,0.005419558,40170391.41
,,0.023013837,43938051.17,0.002262968,38462395.78,0.005397662,40201676.92
,,0.023030177,43925550.77,0.002222287,38492645.34,0.005375479,40233031.49
,,0.02304642,43912912.26,0.002181261,38523033.04,0.005352979,40264455.13
,,0.023062662,43900135.61,0.002139909,38553420.73,0.005330193,40295947.83
,,0.023078904,43887428.03,0.002098232,38583877.49,0.005307108,40327509.6
,,0.023095048,43874582.32,0.002056219,38614403.31,0.005283737,40359140.43
,,0.02311129,43861736.62,0.002013871,38644929.13,0.005260071,40390840.32
,,0.023127434,43848752.78,0.001971188,38675593.08,0.005236106,40422609.27
,,0.023143578,43835768.95,0.001928181,38706326.09,0.005211846,40454447.29
,,0.023159721,43822785.12,0.001884838,38737059.1,0.00518729,40486423.43
,,0.023175767,43809732.22,0.00184118,38767930.23,0.005162448,40518468.64
,,0.023191911,43796610.26,0.001797176,38798801.37,0.005137308,40550582.9
,,0.023207956,43783419.24,0.001752848,38829741.57,0.005111882,40582766.23
,,0.023224001,43770297.28,0.001708212,38860750.83,0.005086167,40615018.63
,,0.023240047,43756968.13,0.001663242,38891829.15,0.005060156,40647271.02
,,0.023256092,43743638.98,0.001617945,38922907.48,0.005033859,40679592.48
,,0.023272138,43730378.9,0.001572323,38954123.93,0.005007273,40711983
,,0.023288085,43716911.63,0.001526375,38985340.38,0.0049804,40744442.58
,,0.023304032,43703513.41,0.00148012,39016625.89,0.00495324,40776971.23
,,0.023320077,43690184.27,0.001433529,39048049.53,0.004925785,40809499.87
,,0.023336024,43676647.93,0.001386603,39079473.17,0.004898053,40842166.65
,,0.023351971,43663111.59,0.001339351,39110965.87,0.004870027,40874833.42
,,0.02336782,43649506.19,0.001291794,39142527.63,0.004841713,40907569.25
,,0.023383767,43635900.79,0.001243901,39174158.46,0.004813113,40940443.21
,,0.023399714,43622364.46,0.001195694,39205858.35,0.004784236,40973317.17
,,0.023415563,43608620.93,0.001147161,39237558.24,0.004755064,41006329.26
,,0.02343151,43594946.47,0.001098313,39269396.26,0.004725605,41039410.41
,,0.023447358,43581272.01,0.001049143,39301303.34,0.004695879,41072560.62
,,0.023463207,43567390.36,0.000999654,39333210.42,0.004665864,41105710.83
,,0.023479056,43553646.83,0.000949841,39365255.62,0.004635562,41138999.17
,,0.023494904,43539903.3,0.000899718,39397300.83,0.004604982,41172287.51
,,0.023510753,43526021.65,0.000849289,39429346.03,0.004574124,41205644.91
,,0.023526602,43512070.94,0.00079854,39461529.36,0.004542988,41239002.31
,,0.02354245,43498258.35,0.000747482,39493712.7,0.004511576,41272428.78
,,0.023558299,43484307.64,0.000696114,39525896.03,0.004479877,41305993.37
,,0.023574147,43470218.8,0.000644427,39558148.42,0.004447902,41339488.9
,,0.023590095,43456268.08,0.000592431,39590538.94,0.00441565,41373122.55
,,0.023605943,43442110.18,0.000540121,39622929.46,0.004383131,41406825.26
,,0.023621792,43428021.34,0.000487499,39655319.98,0.004350327,41440597.04
,,0.023637739,43413863.43,0.000434566,39687848.63,0.004317247,41474368.82
,,0.023653686,43399705.53,0.000381314,39720446.34,0.004283892,41508278.73
,,0.023669535,43385409.5,0.00032775,39753113.11,0.004250259,41542257.69
,,0.023685482,43371182.54,0.000273872,39785848.94,0.00421635,41576305.72
,,0.023701429,43356886.51,0.00021969,39818653.84,0.004182174,41610353.76
,,0.023717278,43342521.41,0.000165192,39851527.8,0.00414772,41644539.91
,,0.023733225,43328225.39,0.000110388,39884470.82,0.004112999,41678726.07
,,0.023749173,43313791.23,5.53E-05,39917413.85,0.004077989,41712981.29
,,0.02376512,43299357.08,1.35E-07,39950425.93,0.004042713,41747236.51
,,0.023781067,43284922.92,5.58E-05,39983438.02,0.004007177,41781629.85
,,0.023797014,43270488.77,0.00011186,40016519.17,0.003971374,41816023.2
,,0.02381306,43255916.48,0.000168179,40049669.38,0.003935302,41850416.54
,,0.023829007,43241413.27,0.0002248,40082819.59,0.003898966,41884878.95
