9X;9Y;8X;8Y;7X;7Y;6X;6Y;5X;5Y;4X;4Y;3X;3Y;2X;2Y
;;;;0.648077813;0.22012448;0.578284012;0.221428903;0.356375516;0.228668449;0.381429701;0.211710954;0.399325548;0.19775363;0.399325548;0.13859806
;;;;0.678500752;0.217972183;0.617654874;0.218820057;0.395746378;0.225603056;0.420800563;0.209623877;0.43869641;0.196253544;0.43869641;0.138337176
;;;;0.764400815;0.212232723;0.657025737;0.216276433;0.43511724;0.222602883;0.460171426;0.207602022;0.478067272;0.194427353;0.478067272;0.137815407
;;;;0.821070996;0.208884704;0.696396599;0.214124136;0.474488103;0.219798374;0.499542288;0.206101936;0.517438134;0.192666382;0.517438134;0.137032753
;;;;0.848511294;0.206493263;0.735767461;0.211971838;0.513858965;0.216732981;0.53891315;0.204667071;0.556808996;0.19084019;0.556808996;0.136445763
;;;;;;0.775138323;0.20975432;0.553229827;0.214450241;0.578284012;0.203101764;0.596179859;0.189796652;0.596179859;0.135597888
;;;;;;0.814509186;0.207210695;0.592600689;0.212884934;0.617654874;0.201601678;0.635550721;0.188622671;0.635550721;0.134880455
;;;;;;0.844932125;0.205297542;0.631971552;0.211319627;0.657025737;0.200101591;0.674921583;0.187644354;0.674921583;0.133902138
;;;;;;;;0.671342414;0.209689098;0.696396599;0.198666726;0.714292445;0.187122585;0.714292445;0.134032581
;;;;;;;;0.710713276;0.207797685;0.735767461;0.19716664;0.753663308;0.186144268;0.753663308;0.134032581
;;;;;;;;0.750084138;0.205906272;0.775138323;0.196057881;0.79303417;0.185622499;0.79303417;0.133836917
;;;;;;;;0.789455001;0.204145302;0.814509186;0.194949122;0.832405032;0.184644182;0.832405032;0.134032581
;;;;;;;;0.828825863;0.202253889;0.853880048;0.193449036;0.871775894;0.183665865;0.871775894;0.133902138
;;;;;;;;0.868196725;0.200101591;0.89325091;0.191688065;0.911146756;0.182100558;0.911146756;0.133641254
;;;;;;;;0.907567587;0.197884073;0.932621772;0.189927094;0.950517619;0.180665693;0.950517619;0.132923821
;;;;;;;;0.946938449;0.195601333;0.971992634;0.188492229;0.989888481;0.179165607;0.989888481;0.132597716
;;;;;;;;0.986309312;0.194036026;1.011363497;0.187448691;1.029259343;0.177600299;1.029259343;0.132075947
;;;;;;;;1.023890589;0.192718559;1.050734359;0.18568772;1.068630205;0.175708887;1.068630205;0.13109763
;;;;;;;;1.065051036;0.189927094;1.090105221;0.182622327;1.108001068;0.172969599;1.108001068;0.130184534
;;;;;;;;1.104421898;0.186600816;1.129476083;0.179491712;1.14737193;0.170425975;1.14737193;0.129206217
;;;;;;;;1.143792761;0.183339759;1.168846946;0.176230656;1.186742792;0.168143235;1.186742792;0.128032236
;;;;;;;;1.183163623;0.180274366;1.208217808;0.172969599;1.226113654;0.165795274;1.226113654;0.12711914
;;;;;;;;1.222534485;0.176817646;1.238640747;0.170800996;1.251167839;0.16440389;1.265484517;0.126597371
;;;;;;;;1.245799085;0.176002382;;;;;1.286959532;0.126858256
