Time [s];RF Mag [N];Sigma [MPa];Extension [-];Paper extension [-];Paper Sigma [MPa]
0.147178;49063.3;338.8455864;0.018656083;;
0.148178;49088;339.0161718;0.018782893;;
0.149178;49112.4;339.1846854;0.018909703;;
0.150178;49136.7;339.3525084;0.019036513;;
0.151178;49160.6;339.5175688;0.019163322;;
0.152178;49184.4;339.6819386;0.019290132;;
0.153178;49207.9;339.8442365;0.019416942;;
0.154178;49231.1;340.0044625;0.019543752;;
0.155178;49254.1;340.1633073;0.019670625;;
0.156178;49276.9;340.3207708;0.019797435;;
0.157178;49299.4;340.4761624;0.019924244;;
0.158178;49321.6;340.6294822;0.020051054;;
0.159178;49343.6;340.7814206;0.020177864;;
0.160178;49365.4;340.9319779;0.020304674;;
0.161178;49386.9;341.0804632;0.020431547;;
0.162178;49408.1;341.2268766;0.020558357;;
0.163178;49429.2;341.3725994;0.020685166;;
0.164178;49450.1;341.516941;0.020811976;;
0.165178;49470.7;341.6592106;0.020938849;;
0.166178;49491.1;341.800099;0.021065659;;
0.167178;49511.3;341.9396062;0.021192469;;
0.168178;49531.3;342.0777321;0.021319279;;
0.169178;49551.1;342.2144767;0.021446152;;
0.170178;49570.6;342.3491494;0.021572962;;
0.171178;49590;342.4831315;0.021699771;;
0.172178;49609.1;342.6150418;0.021826645;;
0.173178;49628;342.7455707;0.021953454;;
0.174178;49646.8;342.8754091;0.022080328;;
0.175178;49665.3;343.0031755;0.022207137;;
0.176178;49683.6;343.1295607;0.022333947;;
0.177178;49701.7;343.2545646;0.02246082;;
0.178178;49719.6;343.3781873;0.02258763;;
0.179178;49737.4;343.5011193;0.022714503;;
0.180178;49754.9;343.6219795;0.022841313;;
0.181178;49772.3;343.742149;0.022968123;;
0.182178;49789.5;343.8609372;0.023094996;;
0.183178;49806.5;343.9783442;0.023221806;;
0.184178;49823.3;344.09437;0.023348679;;
0.185178;49840;344.2097051;0.023475489;;
0.186178;49856.5;344.323659;0.023602362;;
0.187178;49872.8;344.4362316;0.023729172;;
0.188178;49888.9;344.5474229;0.023856045;;
0.189178;49904.9;344.6579236;0.023982855;;
0.190178;49920.7;344.7670431;0.024109728;;
0.191178;49936.4;344.8754719;0.024236538;;
0.192178;49952;344.9832101;0.024363411;;
0.193178;49967.4;345.089567;0.024490221;;
0.194178;49982.6;345.1945427;0.024617094;;
0.195178;49997.7;345.2988277;0.024743967;;
0.196178;50012.6;345.4017315;0.024870777;;
0.197178;50027.3;345.503254;0.02499765;;
0.198178;50041.9;345.6040859;0.02512446;;
0.199178;50056.4;345.7042272;0.025251334;;
0.200178;50070.7;345.8029872;0.025378143;;
0.201178;50084.9;345.9010566;0.025505017;;
0.202178;50098.9;345.9977447;0.02563189;;
0.203178;50112.8;346.0937422;0.0257587;;
0.204178;50126.6;346.189049;0.025885573;;
0.205178;50140.2;346.2829746;0.026012446;;
0.206178;50153.7;346.3762096;0.026139256;;
0.207178;50167.1;346.468754;0.026266129;;
0.208178;50180.3;346.559917;0.026393002;;
